"Session","Exercise Name","Exercise Description","Repetitions","Sets","Load","Recovery Time","Video Explanation","Phase Name","Phase Dates","Phase Image","Player Image","Overview","Week","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Monday Colour","Tuesday Colour","Wednesday Colour","Thursday Colour","Friday Colour","Saturday Colour","Sunday Colour","Notes","ID","Created Date","Updated Date","Owner"
"[""Strength Testing""]","Trap Bar Deadlift","Stand in the middle of the trap bar with feet shoulder-width apart. Bend at your hips and knees while keeping your back straight and chest up. Grip the handles of the trap bar firmly, engage your core, and drive through your heels to lift the bar to a standing position. Lower the bar back down in a controlled manner. Progressively increase the weight to find your maximum lift.","1",,"1 Rep Max","Full",,,,,,,,,,,,,,,,,,,,,,,"c15076ea-11e2-43c2-b0c2-3cf4149f802b",2025-01-28T15:59:28Z,2025-02-11T04:46:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","Acceleration with Box Step Push-Off","Begin in a sprint acceleration and take 2–3 powerful steps. As you approach the box set in your path, place one foot naturally onto the box mid-stride. Push explosively off the box to project yourself forward and continue sprinting without breaking rhythm. Sprint for a further 10 metres beyond the box before decelerating under control. Focus on smooth integration of the box step within the stride and aggressive drive out.","4 (2 each side)","3","'-","75s",,,,,,,,,,,,,,,,,,,,,,,"c1d11c6b-ea91-4169-8859-ed71a5ba7ccf",2025-07-19T19:33:21Z,2025-09-05T13:22:55Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Conditioning Testing""]","vVO2max","Sprint all out until you can no longer
sustain maximum speed. Measure the number of
seconds until this point is reached.","1",,"'-","Full",,,,,,,,,,,,,,,,,,,,,,,"c52ae1f0-cbe4-4dfd-bd01-6e825ad47979",2025-01-28T15:59:28Z,2025-02-11T04:46:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
,"Sprint Mechanic into Switch",,"16 (8 each side)","3","'-","60s",,,,,,,,,,,,,,,,,,,,,,,"d5afd618-3bd1-4033-992c-93964b3d3aec",2025-01-29T03:41:30Z,2025-09-02T17:37:07Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Speed Testing""]","Countermovement Jump","Begin in a standing position with feet shoulder-width apart. Drop quickly into a squat by bending your knees and hips, then immediately explode upwards into a vertical jump. Land softly with knees slightly bent, ready to reset for the next repetition.","1",,"'-","Full",,,,,,,,,,,,,,,,,,,,,,,"d767f336-833d-47d0-8f06-16466f3d5960",2025-01-28T15:59:28Z,2025-02-11T04:46:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""C""]","90 Degree Turn Sprint Against Wall","Stand side-on a short distance away from a wall in an athletic stance. Push off the outside foot, turning 90 degrees as you accelerate forward along the wall’s edge. Use the wall as a barrier to keep your line tight and posture square. Sprint out with powerful first steps and maintain hip rotation speed. Focus on quick turn-in and aggressive acceleration.","4 (2 each side)","3","'-","75s",,,,,,,,,,,,,,,,,,,,,,,"dcdbc2bd-2fb1-4eba-ba84-bc8bbdae493b",2025-07-19T19:33:18Z,2025-09-05T13:21:54Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-D""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"e02bd0dc-3e53-4a66-aead-5cd236933bc7",2025-01-28T15:59:28Z,2025-09-05T13:23:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-D""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"e230bc9c-2d29-45ae-8207-6b686cfb3834",2025-01-28T15:59:28Z,2025-09-05T13:23:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Speed Testing""]","10 / 20 / 30 / 40 Metre Sprint","Sprint 40 metres
all out from a standstill and measure the time it takes to reach each of these splits. Use speed gates for accuracy, or otherwise film with a cone to mark
each distance and take the times afterwards. Retain
only the splits from the fastest 40 metre sprint (note that this is metres not yards).","1",,"'-","Full",,,,,,,,,,,,,,,,,,,,,,,"e4c1988a-0bfb-4a9c-a6e9-a5ef35d16c3c",2025-01-28T15:59:28Z,2025-02-11T04:46:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-D""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"e6cf7831-9481-4fb1-bcf5-8449c5088424",2025-01-28T15:59:28Z,2025-09-05T13:23:58Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Schedule""]",,,,,,,,,,,,,"3rd November","<h4 class=""font_4"">B</h4>","<h4 class=""font_4"">E</h4>","<h4 class=""font_4"">F</h4>",,,,,"wix:image://v1/c4f4b1_84429ac03f3f41fba6211548e6a532c9~mv2.png/Session%20B%20(2).png#originWidth=2000&originHeight=1166","wix:image://v1/c4f4b1_c3c7b746f77e4aa283e4b2afa2028a96~mv2.png/Session%20E%20(12).png#originWidth=2000&originHeight=1166","wix:image://v1/c4f4b1_2f5d4808fadf47e2b7a9c2f60152c76d~mv2.png/Session%20F%20(1).png#originWidth=2000&originHeight=1166",,,"wix:image://v1/c4f4b1_bd7fbb4365e14958a12eaf92456919b0~mv2.png/71.png#originWidth=2000&originHeight=1167",,,"e8bd0948-620e-40db-a7bd-65aaadc6d4d2",2025-01-28T15:59:28Z,2025-10-14T16:18:24Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-C""]","Scapular Push-Ups","Start in a push-up position with your hands under your shoulders. Without bending your elbows, squeeze your shoulder blades together, lowering your chest slightly. Then, push through your hands and round your upper back as your shoulder blades spread apart.","12","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"ec8c60b8-dc7f-44ab-9c39-509fcfa494de",2025-01-29T03:41:34Z,2025-07-22T20:20:09Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Pre-C""]","Dynamic Arm Swings","Stand tall with your arms extended at your sides. Swing both arms forward across your chest in a hugging motion, then open them wide again behind your body. Continue alternating swings in a rhythmic fashion, crossing one arm over the other on each rep. Maintain a relaxed posture and allow your shoulders to move freely. This is a light dynamic movement used to activate the upper body.","30","1","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"edfc65be-4c0e-4a15-b733-c02a2577c71c",2025-01-29T03:41:33Z,2025-07-22T20:20:09Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""E""]","Fake - Stop - Cut - Finish","As the ball rolls, fake the shot and let it continue into your next stride. If the defender is still in front of you, stop the ball on the spot or slightly cut it back the direction you came, before immediately cutting 3-yards back toward the direction you came (and angled slightly towards goal) before opening into the finish.","2es","2es",,,,,,,,,,,,,,,,,,,,,,,,,"f24d0ccf-f942-4d0b-acc7-3651d826dbd3",2025-01-28T15:59:28Z,2025-07-19T20:23:11Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Strength Testing""]","Squat Jump","Start from a static squat position, knees bent at a 90-degree angle. Engage your core and explosively jump vertically as high as you can. Land softly, returning to the squat position. Measure the jump height or use video footage for analysis.","1",,"'-","Full",,,,,,,,,,,,,,,,,,,,,,,"f4571ef5-0fef-47e9-9b8d-c1d8de5e2d6f",2025-01-28T15:59:28Z,2025-02-11T04:46:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""A""]","Reverse Nordic Curl (Short ROM for Quads)","Kneel on a padded surface with feet anchored or flat against the floor. Keep your torso tall, squeeze your glutes and slowly lean back by extending through the knees, lowering your body in a straight line. Go only as far as you can control, then return to upright. Keep the hips extended and avoid breaking at the waist. Focus on tension through the quads and control through the eccentric phase.","8","2","'-","'-",,,,,,,,,,,,,,,,,,,,,,,"f86186f3-f68e-4cee-882b-10cace5ae04b",2025-01-28T15:59:28Z,2025-06-02T20:52:54Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
"[""Power Testing""]","Triple Leap","Start with feet shoulder-width apart. Perform three consecutive jumps, taking off and landing with both feet each time. Focus on maximising horizontal distance with each jump while maintaining control.","1",,"'-","Full",,,,,,,,,,,,,,,,,,,,,,,"fb0fc751-e294-4b56-95b4-21e86ab037eb",2025-01-28T15:59:28Z,2025-02-11T04:46:17Z,"c4f4b179-106b-4a27-b593-e24126c1a62d"
